overlap_bin_main,source_signature,row_count,taxonomy_group,bacdive_status_closure,metatraits_covered
bacdive_only,proteome:UP000007490,2,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000009231,2,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,taxon:256|organism:myroides odoratus (flavobacterium odoratum),1,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:46770|organism:cenarchaeum symbiosum,1,target_archaea,bacdive_not_found,True
bacdive_only,taxon:347834|organism:rhizobium etli (strain atcc 51251 / dsm 11541 / jcm 21823 / nbrc 15573 / cfn 42),1,target_bacteria,bacdive_exact_culture_collection,False
metatraits_only,taxon:2099|organism:mesomycoplasma hyopneumoniae (mycoplasma hyopneumoniae),2,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:57174|organism:caldococcus noboribetus,1,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:1223|organism:prochlorothrix hollandica,4,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:37692|organism:apple proliferation phytoplasma,2,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:979|organism:cellulophaga lytica (cytophaga lytica),3,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:249|organism:terrimonas ferruginea (flavobacterium ferrugineum),2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:364030|organism:thiomonas delicata (thiomonas cuprina),2,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:145261|organism:methanothermobacter wolfeii (methanobacterium wolfei),2,target_archaea,bacdive_species_taxid_or_synonym_match,False
bacdive_only,proteome:UP000198521,4,target_bacteria,bacdive_exact_culture_collection,False
metatraits_only,taxon:34058|organism:methylobacter marinus,3,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:145262|organism:methanothermobacter thermautotrophicus (methanobacterium thermoformicicum),1,target_archaea,bacdive_species_taxid_or_synonym_match,False
metatraits_only,proteome:UP000002734,4,target_bacteria,bacdive_species_candidate_unvalidated,True
metatraits_only,proteome:UP000001446,1,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000006872,2,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000006876,1,target_bacteria,bacdive_species_candidate_unvalidated,True
bacdive_only,taxon:54291|organism:raoultella ornithinolytica (klebsiella ornithinolytica),1,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:882102|organism:vibrio anguillarum (strain atcc 68554 / 775) (listonella anguillarum),2,target_bacteria,bacdive_species_candidate_unvalidated,True
bacdive_only,proteome:UP000002215,4,target_bacteria,bacdive_exact_culture_collection,False
metatraits_only,proteome:UP000001303,1,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:2223|organism:methanothrix soehngenii (methanosaeta concilii),2,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:41170|organism:exiguobacterium acetylicum (brevibacterium acetylicum),4,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000006073,1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:2221|organism:methanolobus tindarius,1,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:39831|organism:klebsiella pneumoniae subsp. rhinoscleromatis,1,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:244366|organism:klebsiella variicola,1,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:262320|organism:flavobacterium frigidimaris,1,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:98797|organism:buchnera aphidicola subsp. thelaxes suberi,3,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000000933,1,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000000377,5,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:48665|organism:streptomyces viridifaciens,4,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000007954,1,target_archaea,bacdive_exact_culture_collection,False
bacdive_only,taxon:238|organism:elizabethkingia meningoseptica (chryseobacterium meningosepticum),8,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:1945|organism:streptomyces jumonjinensis,1,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:384|organism:rhizobium leguminosarum,1,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000001654,1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:746361|organism:lactococcus lactis subsp. cremoris (strain nz9000),3,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,taxon:2181|organism:methanothermus sociabilis,1,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,taxon:106592|organism:ensifer adhaerens (sinorhizobium morelense),1,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000075583,1,target_bacteria,bacdive_exact_genome,False
bacdive_only,taxon:42879|organism:methanococcus aeolicus,1,target_archaea,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000008461,10,target_bacteria,bacdive_exact_genome,False
bacdive_only,proteome:UP000002220,1,target_bacteria,bacdive_exact_culture_collection,False
metatraits_only,taxon:55952|organism:streptomyces toyocaensis,1,target_bacteria,bacdive_not_found,True
bacdive_only,proteome:UP000006794,6,target_archaea,bacdive_exact_culture_collection,False
metatraits_only,proteome:UP000000323,1,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:411468|organism:clostridium scindens (strain atcc 35704 / dsm 5676 / vpi 13733 / 19),4,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000008916,1,target_bacteria,bacdive_species_candidate_unvalidated,True
bacdive_only,taxon:480520|organism:myroides profundi,1,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,taxon:98792|organism:buchnera aphidicola subsp. pterocomma populeum,1,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:212194|organism:mycobacterium sp. (strain dsm 3803 / jc1),1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,proteome:UP000093197,2,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000001700,1,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:929705|organism:sulfobacillus thermosulfidooxidans (strain dsm 9293 / vkm b-1269 / at-1),1,target_bacteria,bacdive_exact_culture_collection,False
bacdive_only,taxon:1044|organism:erythrobacter longus,3,target_bacteria,bacdive_species_exact_name_match,False
bacdive_only,proteome:UP000011524,3,target_archaea,bacdive_exact_genome,False
metatraits_only,proteome:UP000028341,2,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000017700,2,target_bacteria,bacdive_not_found,True
metatraits_only,taxon:104623|organism:serratia sp. (strain atcc 39006) (prodigiosinella confusarubida),1,target_bacteria,bacdive_not_found,True
bacdive_only,taxon:818|organism:bacteroides thetaiotaomicron,3,target_bacteria,bacdive_species_exact_name_match,False
metatraits_only,proteome:UP000305881,2,target_bacteria,bacdive_not_found,True
metatraits_only,proteome:UP000002805,2,target_bacteria,bacdive_species_candidate_unvalidated,True
