trait_name,group_1,group_2,unit,source_count,fraction_of_2478,fraction_of_metatraits_covered_1638
generalist,Habitat,Generalism,boolean,356,0.143664,0.217338
habitat count,Habitat,Generalism,count,356,0.143664,0.217338
assimilation: adipate,Metabolism,Assimilation,boolean,351,0.141646,0.214286
builds acid from: L-arabinose,Metabolism,Builds acid from,boolean,345,0.139225,0.210623
hydrolysis: hippurate,Metabolism,Hydrolase activity,boolean,335,0.13519,0.204518
assimilation: D-mannitol,Metabolism,Assimilation,boolean,331,0.133575,0.202076
assimilation: D-mannose,Metabolism,Assimilation,boolean,325,0.131154,0.198413
enzyme activity: tryptophan deaminase (EC4.1.99.1),Enzymes,Enzyme activity,boolean,318,0.128329,0.194139
assimilation: decanoate,Metabolism,Assimilation,boolean,312,0.125908,0.190476
fermentation: amygdalin,Metabolism,Fermentation,boolean,298,0.120258,0.181929
respiration: nitrate,Metabolism,Respiration,boolean,286,0.115416,0.174603
degradation: lysine,Metabolism,Catabolic process,boolean,282,0.113801,0.172161
fermentation: lactose,Metabolism,Fermentation,boolean,273,0.110169,0.166667
builds acid from: D-ribose,Metabolism,Builds acid from,boolean,271,0.109362,0.165446
pangenome openness,Genome,Pangenome,score,269,0.108555,0.164225
intra species nucleotide diversity,Genome,Population diversity,%,267,0.107748,0.163004
builds acid from: D-tagatose,Metabolism,Builds acid from,boolean,263,0.106134,0.160562
fermentation: D-mannose,Metabolism,Fermentation,boolean,258,0.104116,0.157509
enzyme activity: alpha-arabinosidase (EC3.2.1.55),Enzymes,Enzyme activity,boolean,252,0.101695,0.153846
enzyme activity: alanine arylamidase (EC3.4.11.2),Enzymes,Enzyme activity,boolean,251,0.101291,0.153236
cell width maximum,Morphology,Cell size phenotype,µm,237,0.095642,0.144689
cell width minimum,Morphology,Cell size phenotype,µm,237,0.095642,0.144689
builds acid from: D-mannose,Metabolism,Builds acid from,boolean,227,0.091606,0.138584
enzyme activity: alpha-maltosidase,Enzymes,Enzyme activity,boolean,227,0.091606,0.138584
energy source: tryptophan,Metabolism,Energy source,boolean,225,0.090799,0.137363
enzyme activity: beta-Galactosidase 6-phosphate,Enzymes,Enzyme activity,boolean,224,0.090395,0.136752
cell length maximum,Morphology,Cell size phenotype,µm,220,0.088781,0.13431
cell length minimum,Morphology,Cell size phenotype,µm,220,0.088781,0.13431
fermentation: D-ribose,Metabolism,Fermentation,boolean,215,0.086764,0.131258
builds acid from: alpha-cyclodextrin,Metabolism,Builds acid from,boolean,213,0.085956,0.130037
enzyme activity: Alanyl-Phenylalanyl-Proline arylamidase,Enzymes,Enzyme activity,boolean,213,0.085956,0.130037
enzyme activity: N-acetyl-beta-glucosaminidase (EC3.2.1.52),Enzymes,Enzyme activity,boolean,213,0.085956,0.130037
builds acid from: D-galacturonic acid,Metabolism,Builds acid from,boolean,210,0.084746,0.128205
enzyme activity: L-aspartate arylamidase (EC3.4.11.21),Enzymes,Enzyme activity,boolean,207,0.083535,0.126374
builds acid from: D-sorbitol,Metabolism,Builds acid from,boolean,205,0.082728,0.125153
fermentation: L-rhamnose,Metabolism,Fermentation,boolean,202,0.081517,0.123321
builds acid from: L-rhamnose,Metabolism,Builds acid from,boolean,201,0.081114,0.122711
